,author,creation_date,expiry,last_reply,parent_category,price,replies,saving,source,thread_category,title,url,views,votes
0,pux420,"Jun 29th, 2020 12:30 pm","July 12, 2020","Jul 12th, 2020 11:37 am",Home & Garden,214.99,121,20%,Costco,Home Improvement & Tools,Garage Epoxy $214.99,https://www.costco.ca/rokrez-epoxy-floor-coating-kit-with-chips-and-additive.product.100402675.html,35154,22
1,Indubitably,"Jul 12th, 2020 9:06 am",,"Jul 12th, 2020 11:35 am",Computers & Electronics,19.99,20,$23 off,Amazon.ca,Home Theatre & Audio,Dudios True Wireless Earbuds - $19.99 with Prime,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2FDudios-Bluetooth-Headphone-microphone-One-Button%2Fdp%2FB07R4HFXTL&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,2470,19
2,maverikbc,"Jul 8th, 2020 9:31 pm",,"Jul 12th, 2020 11:35 am",Financial Services,,67,,,Credit Cards,"TD, BMO, and CIBC cash back 10% cards welcome bonuses end dates vary",,15080,19
3,phoreoneone,"Jun 30th, 2020 10:48 am",,"Jul 12th, 2020 11:32 am",,,5,,Starbucks,Groceries,Aeroplan with TD and Starbucks Offers YMMV CHECK EMAIL,,1440,0
4,AramisAtos,"Jun 18th, 2020 3:20 pm",,"Jul 12th, 2020 11:32 am",,,96,70%,,Apparel,Levi's Warehouse Sale Event 70% off,http://levis-canada.sjv.io/c/341376/486184/8468?u=https%3A%2F%2Fwww.levi.com%2FCA%2Fen_CA%2Fend-of-season%2Fc%2Flevi_clothing_year_end_holiday_sale%3Fcamp%3DCME%2AEC%2ACA%2AEN%2ACA_Levis_Dedicated_Warehouse_Starts_Promo%2Acme_adh%2Aresp%2AALL%2A20200618%26camp_id%3Dlevis.32683002%2520%26rmid%3D20200618_CA_Levis_Dedicated_Warehouse_Starts_Promo%26rrid%3D1115440762%26e_id_s25511%3D2fbc429de516231cccf1b7d48a5c8f5874af9aa6dd599a1169f4e739c9b6c59d%26e_id_m25511%3D21784577610190435641b65a630ce654,34354,59
5,Mr2828,"Jul 9th, 2020 5:42 pm",,"Jul 12th, 2020 11:31 am",,,171,,Foot Locker,Apparel,Ultraboost/NMD/Infinity React 50% + extra 15/20% off,,48508,112
6,enzo85,"Jul 12th, 2020 11:31 am",,"Jul 12th, 2020 11:31 am",Home & Garden,,0,,,Appliances,$499 - Miele Classic C1 Cat and Dog Canister Vacuum - Clearance,https://www.canadiantire.ca/en/pdp/miele-classic-c1-cat-and-dog-canister-vacuum-0438196p.html#Clearance,66,0
7,SAN66,"Jul 11th, 2020 4:09 pm",,"Jul 12th, 2020 11:28 am",Computers & Electronics,$129.97,22,30%,Staples,Peripherals & Accessories,Google Home Wifi Router (1st gen) $129.97 in store,https://staplescanada.4u8mqw.net/c/341376/755401/10903?u=https://www.staples.ca/products/2705491-en-google-wifi-whole-home-mesh-wifi-system-ga3a00440-a08,4900,4
8,mangoman,"Jul 10th, 2020 4:40 pm","July 12, 2020","Jul 12th, 2020 11:27 am",Computers & Electronics,$499 + 20x,199,,Shoppers Drug Mart,Computers & Tablets/eReaders,$499.99 Acer Aspire 3 Ryzen 3 3200U / 8GB RAM / 256 GB SSD / FHD,,22448,21
9,Blackdove77,"Jul 6th, 2020 12:49 pm","July 12, 2020","Jul 12th, 2020 11:27 am",Computers & Electronics,,111,100%,,Video Games,Watchdogs 2 PC version free on July 12th,https://news.ubisoft.com/en-us/article/41nS5f7EjNSB9Hi7CwSuVz/ubisoft-forward-everything-you-need-to-know,25379,105
10,metasyntactic,"Jul 7th, 2020 1:21 pm","July 20, 2020","Jul 12th, 2020 11:27 am",Home & Garden,139,92,,Home Depot,Home Improvement & Tools,Milwaukee M12 FUEL Stubby 3/8-Inch Impact Wrench 2554-20 (Tool-Only) - $139,https://the-home-depot-ca.pxf.io/c/341376/583694/9526?u=https://www.homedepot.ca/product/milwaukee-tool-m12-fuel-12v-lithium-ion-brushless-cordless-stubby-3-8-inch-impact-wrench-tool-only-/1001232346,12894,7
11,justGZ,"Jul 11th, 2020 10:05 pm","July 30, 2020","Jul 12th, 2020 11:26 am",Computers & Electronics,1079,10,$360,Best Buy,Televisions,"Samsung 65"" 4K UHD HDR QLED(QN65Q7DRAFXZC) -Demo Model- $1079",https://bestbuyca.o93x.net/c/341376/644465/10221?u=https://www.bestbuy.ca/en-ca/product/samsung-65-4k-uhd-hdr-qled-tizen-smart-tv-qn65q7drafxzc-only-at-best-buy-demo-model/14638467?cmp=knc-s-71700000055312369&amp;gclid=EAIaIQobChMImKi9ms7G6gIVjLbICh1WbQPREAYYASABEgJTtfD_BwE&amp;gclsrc=aw.ds,2748,-2
12,ajacian81,"Jul 10th, 2020 7:31 pm",,"Jul 12th, 2020 11:25 am",Computers & Electronics,1200,36,,Staples,Computers & Tablets/eReaders,"$1200 ASUS Zenbook 14"" Ultrabook, 3.6 GHz AMD Ryzen 7 4700U, 512 GB SSD, 16 GB LPDDR4, NVIDIA GeForce MX350",https://staplescanada.4u8mqw.net/c/341376/755401/10903?u=https://www.staples.ca/products/2979662-en-asus-zenbook-um433iq-bs71-ca-14-ultrabook-36-ghz-amd-ryzen-7-4700u-512-gb-ssd-16-gb-lpddr4-nvidia-geforce-mx350,7457,6
13,ShopperfiendTO,"Jul 12th, 2020 11:22 am","July 12, 2020","Jul 12th, 2020 11:22 am",Home & Garden,599.99,0,,,Appliances,"Vitamix Ascent 2300 w 64, 48 & 2x20 oz. containers for $600",https://www.tsc.ca/pages/productdetails?nav=r:487028&amp;ic=HP_MN1_200712_KN_Vitamix_487028,120,1
